developer_id,master_plan_id,project_num,dev_type,project_name,project_id,district,municipality,developer_name,community,project_status,last_status_percentage,dari_projectid,project_value,expected_completion_date,Masterplan,bua_sqm,gfa_sqm,construction_project_cost,shape_Length,shape_Area
774995,,2016/377771,Building,Meera,1017,AL REEM ISLAND,Abu Dhabi City,ALDAR DEVELOPMENT  - L.L.C - O.P.C,RS3,Completed,100.000000000000000,AE058,269393483.629999995231628,6/12/2018 0:00:00,,77100.744099999996251,47203.434399999998277,269390000.000000000000000,393.652019648464886,7716.816182303680762
774995,,2016/409776,Building,Sun and Sky,1024,AL REEM ISLAND,Abu Dhabi City,ALDAR DEVELOPMENT  - L.L.C - O.P.C,RS6,Completed,100.000000000000000,AE024,,,,,,,908.207764237335368,40931.166419489672990
774995,,2017/32957,Building/Villa,The Gate,1027,AL REEM ISLAND,Abu Dhabi City,ALDAR DEVELOPMENT  - L.L.C - O.P.C,RS6,Completed,100.000000000000000,AE031,,,,,,,1119.497846490735355,67452.134490001422819
130513,,2017/35224,Building,City of lights,1028,AL REEM ISLAND,Abu Dhabi City,AL TAMOUH  INVESTMENTS  COMPANY LLC,RT3,Completed,100.000000000000000,AE149,,,,,,,532.094366371227238,14172.954798299304457
335511,,2017/27063,Building,Park View,1050,AL REEM ISLAND,Abu Dhabi City,Mesab Limited,RS3,Completed,100.000000000000000,AE057,183837169.000000000000000,3/17/2022 0:00:00,,,,183840000.000000000000000,202.311339907158100,2376.386830983698474
774995,,2017/119694,Building,The Bridges,1059,AL REEM ISLAND,Abu Dhabi City,ALDAR DEVELOPMENT  - L.L.C - O.P.C,RS2,Completed,100.000000000000000,AE025,386875819.339999973773956,2/2/2020 0:00:00,,116988.206799999999930,76914.512900000001537,386880000.000000000000000,503.200584916120476,16162.348597993895964
130513,,2017/95946,Building,City of Light ,1062,AL REEM ISLAND,Abu Dhabi City,AL TAMOUH  INVESTMENTS  COMPANY LLC,RT3,Completed,100.000000000000000,AE150,,,,,,,446.764221314611291,10439.782421436404547
130513,,2017/196497,Building/Villa,Marina Square,1113,AL REEM ISLAND,Abu Dhabi City,AL TAMOUH  INVESTMENTS  COMPANY LLC,RT1,Completed,100.000000000000000,AE080,,,,,,,2283.887259336777333,267347.168617790332064
323721,,2017/23187,Building,City of Lights Towers,1115,AL REEM ISLAND,Abu Dhabi City,T S L PROPERTIES L.L.C.,RT3,Completed,100.000000000000000,AE100,,,,,,,442.450731514265783,11995.516493059807544
297778,,2017/299742,Building,The Bridges (Phase 2),1121,AL REEM ISLAND,Abu Dhabi City,ALDAR PROPERTIES - P J S C,RS1,Completed,100.000000000000000,AE030,393014342.000000000000000,7/22/2020 0:00:00,,,,400874628.839999973773956,535.068842623292085,18354.851792634271987
130513,,2017/437329,Plots,Reem Down Town,1162,AL REEM ISLAND,Abu Dhabi City,AL TAMOUH  INVESTMENTS  COMPANY LLC,RT4,Completed,100.000000000000000,AE116,,,,,,,258.281150781584415,4158.687776993799162
