year,municipality,municipality_id,district,district_id,typology,layout,rent_type,volume,value,shape_Length,shape_Area
2023,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,2 beds,renewal,20.000000000000000,3735388.000000000000000,23604.657354876042518,28738344.954181831330061
2023,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,3 beds,renewal,76.000000000000000,16909286.000000000000000,23604.657354876042518,28738344.954181831330061
2023,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,5 beds,renewal,73.000000000000000,18568850.000000000000000,23604.657354876042518,28738344.954181831330061
2024,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,1 bed,new,564.000000000000000,38264696.000000000000000,23604.657354876042518,28738344.954181831330061
2024,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,4 beds,new,1.000000000000000,300000.000000000000000,23604.657354876042518,28738344.954181831330061
2023,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,5 beds,new,39.000000000000000,10966751.000000000000000,23604.657354876042518,28738344.954181831330061
2024,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,studio,new,198.000000000000000,17144847.000000000000000,23604.657354876042518,28738344.954181831330061
2024,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,3 beds,new,229.000000000000000,42779220.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,unclassified,new,3.000000000000000,314000.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,2 beds,renewal,70.000000000000000,10195449.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,3 beds,renewal,135.000000000000000,26271335.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,5 beds,renewal,59.000000000000000,15897328.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,7+ beds,new,6.000000000000000,3197500.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,1 bed,new,468.000000000000000,42778937.000000000000000,23604.657354876042518,28738344.954181831330061
2024,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,2 beds,new,429.000000000000000,43620067.000000000000000,23604.657354876042518,28738344.954181831330061
2024,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,2 beds,renewal,316.000000000000000,31047380.000000000000000,23604.657354876042518,28738344.954181831330061
2024,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,3 beds,renewal,103.000000000000000,13824471.000000000000000,23604.657354876042518,28738344.954181831330061
2024,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,unclassified,renewal,4.000000000000000,272200.000000000000000,23604.657354876042518,28738344.954181831330061
2024,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,4 beds,new,146.000000000000000,40248498.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,4 beds,renewal,1.000000000000000,300000.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,2 beds,new,101.000000000000000,16200000.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,1 bed,renewal,202.000000000000000,14640564.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,2 beds,new,343.000000000000000,50652529.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,3 beds,renewal,69.000000000000000,10503130.000000000000000,23604.657354876042518,28738344.954181831330061
2024,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,3 beds,new,136.000000000000000,21222118.000000000000000,23604.657354876042518,28738344.954181831330061
2024,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,unclassified,new,3.000000000000000,186644.000000000000000,23604.657354876042518,28738344.954181831330061
2024,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,3 beds,renewal,72.000000000000000,15369881.000000000000000,23604.657354876042518,28738344.954181831330061
2024,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,7+ beds,new,3.000000000000000,1105000.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,studio,new,138.000000000000000,12497123.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,3 beds,new,259.000000000000000,50357500.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,4 beds,renewal,108.000000000000000,28776929.000000000000000,23604.657354876042518,28738344.954181831330061
2024,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,7+ beds,renewal,3.000000000000000,930450.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,3 beds,new,104.000000000000000,21573968.000000000000000,23604.657354876042518,28738344.954181831330061
2024,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,2 beds,new,157.000000000000000,22240210.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,2 beds,renewal,205.000000000000000,23166444.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,unclassified,renewal,1.000000000000000,105000.000000000000000,23604.657354876042518,28738344.954181831330061
2025,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,4 beds,new,174.000000000000000,46112583.000000000000000,23604.657354876042518,28738344.954181831330061
2021,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,1 bed,renewal,43.000000000000000,2817250.000000000000000,23604.657354876042518,28738344.954181831330061
2021,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,4 beds,renewal,116.000000000000000,23668500.000000000000000,23604.657354876042518,28738344.954181831330061
2022,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,1 bed,renewal,139.000000000000000,8614254.000000000000000,23604.657354876042518,28738344.954181831330061
2022,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,studio,new,260.000000000000000,13277203.000000000000000,23604.657354876042518,28738344.954181831330061
2023,Abu Dhabi City,41,Yas Island,1330,Apartment / Duplex,studio,new,221.000000000000000,15189228.000000000000000,23604.657354876042518,28738344.954181831330061
2023,Abu Dhabi City,41,Yas Island,1330,Villa / Townhouse,7+ beds,new,3.000000000000000,380000.000000000000000,23604.657354876042518,28738344.954181831330061
