municipality,municipality_id,district,district_id,project_number,project_id,project_name,year,typology,sale_rate,lable,shape_Length,shape_Area
Abu Dhabi City,41,Yas Island,1330,20250000426446,2250,Bab Al Qasr Residence 31,2025,Apartment / Duplex,17374.000000000000000,17k-18k,326.497211723669579,6133.509603210864952
Abu Dhabi City,41,Yas Island,1330,20240000314656,2234,Bab Al Qasr residence 25,2025,Apartment / Duplex,15036.000000000000000,14k-16k,330.246923759367291,6525.605225464680188
Abu Dhabi City,41,Al Reem Island,57,20240000297668,2225,Reem Eleven,2025,Apartment / Duplex,17367.000000000000000,16k-19k,219.939798888175176,3223.753938494230624
Abu Dhabi City,41,Yas Island,1330,20240000268328,2224,Yas Riva,2024,Villa / Townhouse,17881.000000000000000,16k-20k,4071.045572268905744,710762.142705376958475
Abu Dhabi City,41,Yas Island,1330,20240000268328,2224,Yas Riva,2025,Villa / Townhouse,18335.000000000000000,18k-19k,4071.045572268905744,710762.142705376958475
Abu Dhabi City,41,Al Reem Island,57,2018/307090,1208,PIXEL,2019,Apartment / Duplex,13890.000000000000000,12k-16k,692.335925460238968,23745.157060739427834
Abu Dhabi City,41,Al Reem Island,57,2018/307090,1208,PIXEL,2020,Apartment / Duplex,13572.000000000000000,13k-14k,692.335925460238968,23745.157060739427834
Abu Dhabi City,41,Al Reem Island,57,2018/307090,1208,PIXEL,2021,Apartment / Duplex,13643.000000000000000,13k-14k,692.335925460238968,23745.157060739427834
Abu Dhabi City,41,Al Reem Island,57,2018/307090,1208,PIXEL,2022,Apartment / Duplex,14170.000000000000000,12k-16k,692.335925460238968,23745.157060739427834
Abu Dhabi City,41,Al Reem Island,57,2018/307090,1208,PIXEL,2023,Apartment / Duplex,14008.000000000000000,13k-14k,692.335925460238968,23745.157060739427834
Abu Dhabi City,41,Al Reem Island,57,2018/307090,1208,PIXEL,2024,Apartment / Duplex,14565.000000000000000,14k-15k,692.335925460238968,23745.157060739427834
Abu Dhabi City,41,Al Reem Island,57,2018/307090,1208,PIXEL,2025,Apartment / Duplex,15484.000000000000000,15k-17k,692.335925460238968,23745.157060739427834
Abu Dhabi City,41,Al Reem Island,57,2023/105831,1398,Reem Hills - Phase 2A,2023,Villa / Townhouse,11535.000000000000000,11k-12k,5656.147844130809062,74194.861585419901530
