municipality,municipality_id,district,district_id,community,community_id,supply_demand_year,typology,layout,total_supply,SHAPE_Length,SHAPE_Area
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2023,All property types,1 bed,215,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2023,All property types,2 beds,160,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2023,All property types,3 beds,57,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2023,All property types,4 beds,2,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2023,All property types,All beds,536,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2023,All property types,Studio,91,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2023,All property types,Undefined,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2023,Apartment / Duplex,1 bed,215,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2023,Apartment / Duplex,2 beds,160,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2023,Apartment / Duplex,3 beds,57,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2023,Apartment / Duplex,4 beds,2,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2023,Apartment / Duplex,All beds,525,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2023,Apartment / Duplex,Studio,91,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2023,Villa / Townhouse,All beds,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2023,Villa / Townhouse,Undefined,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2024,All property types,1 bed,215,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2024,All property types,2 beds,160,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2024,All property types,3 beds,57,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2024,All property types,4 beds,2,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2024,All property types,All beds,536,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2024,All property types,Studio,91,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2024,All property types,Undefined,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2024,Apartment / Duplex,1 bed,215,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2024,Apartment / Duplex,2 beds,160,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2024,Apartment / Duplex,3 beds,57,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2024,Apartment / Duplex,4 beds,2,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2024,Apartment / Duplex,All beds,525,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2024,Apartment / Duplex,Studio,91,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2024,Villa / Townhouse,All beds,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2024,Villa / Townhouse,Undefined,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2025,All property types,1 bed,215,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2025,All property types,2 beds,160,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2025,All property types,3 beds,57,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2025,All property types,4 beds,2,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2025,All property types,All beds,536,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2025,All property types,Studio,91,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2025,All property types,Undefined,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2025,Apartment / Duplex,1 bed,215,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2025,Apartment / Duplex,2 beds,160,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2025,Apartment / Duplex,3 beds,57,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2025,Apartment / Duplex,4 beds,2,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2025,Apartment / Duplex,All beds,525,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2025,Apartment / Duplex,Studio,91,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2025,Villa / Townhouse,All beds,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2025,Villa / Townhouse,Undefined,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2026,All property types,1 bed,215,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2026,All property types,2 beds,160,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2026,All property types,3 beds,57,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2026,All property types,4 beds,2,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2026,All property types,All beds,536,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2026,All property types,Studio,91,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2026,All property types,Undefined,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2026,Apartment / Duplex,1 bed,215,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2026,Apartment / Duplex,2 beds,160,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2026,Apartment / Duplex,3 beds,57,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2026,Apartment / Duplex,4 beds,2,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2026,Apartment / Duplex,All beds,525,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2026,Apartment / Duplex,Studio,91,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2026,Villa / Townhouse,All beds,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2026,Villa / Townhouse,Undefined,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2027,All property types,1 bed,215,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2027,All property types,2 beds,160,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2027,All property types,3 beds,57,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2027,All property types,4 beds,2,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2027,All property types,All beds,536,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2027,All property types,Studio,91,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2027,All property types,Undefined,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2027,Apartment / Duplex,1 bed,215,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2027,Apartment / Duplex,2 beds,160,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2027,Apartment / Duplex,3 beds,57,3047.994840511023995,425187.849016185267828
