Layer,Field_Name,Field_Alias,Description,Data_Type
MUNICIPALITY,municipality_id,Municipality ID,Unique identifier for municipality,Integer
MUNICIPALITY,acronym,Municipality Code,Short code for municipality (ADM/AAM/WRM),Text
MUNICIPALITY,emirate_id,Emirate ID,Emirate identifier,Integer
MUNICIPALITY,name_en,Municipality Name (English),Official English name of municipality,Text
MUNICIPALITY,name_ar,Municipality Name (Arabic),Official Arabic name of municipality,Text
MUNICIPALITY,name_pop_en,Popular Name (English),Common English name,Text
MUNICIPALITY,name_pop_ar,Popular Name (Arabic),Common Arabic name,Text
DISTRICT,district_id,District ID,Unique identifier for district,Integer
DISTRICT,name_en,District Name (English),Official English name of district,Text
DISTRICT,name_ar,District Name (Arabic),Official Arabic name of district,Text
DISTRICT,municipality_id,Parent Municipality ID,Municipality containing this district,Integer
DISTRICT,municipality_name,Parent Municipality,Municipality containing this district,Text
COMMUNITY,community_id,Community ID,Unique identifier for community,Integer
COMMUNITY,district_id,Parent District ID,District containing this community,Integer
COMMUNITY,municipality_id,Parent Municipality ID,Municipality containing this community,Integer
COMMUNITY,name_en,Community Code,Community code identifier,Text
COMMUNITY,name_ar,Community Name (Arabic),Arabic name of community,Text
COMMUNITY,name_pop_en,Community Name (English),English name of community,Text
COMMUNITY,name_pop_ar,Popular Name (Arabic),Common Arabic name,Text
COMMUNITY,district_name,Parent District,District containing this community,Text
COMMUNITY,municipality_name,Parent Municipality,Municipality containing this community,Text
PROJECT,project_id,Project ID,Unique identifier for project,Integer
PROJECT,project_num,Project Registration Number,Official project registration number,Text
PROJECT,project_name,Project Name,Name of development project,Text
PROJECT,district,District Name,District where project is located,Text
PROJECT,municipality,Municipality Name,Municipality where project is located,Text
PROJECT,developer_name,Developer Company,Name of development company,Text
PROJECT,community,Community Code,Community where project is located,Text
PROJECT,project_status,Current Status,Current status (Completed/Under Construction/Planned),Text
PROJECT,expected_completion_date,Expected Completion,Estimated project completion date,Date
PROJECT,project_value,Total Value (AED),Total estimated value in AED,Double
PROJECT,dev_type,Development Type,Type of development (Building/Villa/Mixed),Text
PROJECT,bua_sqm,Built-up Area (sqm),Total built-up area in square meters,Double
PROJECT,gfa_sqm,Gross Floor Area (sqm),Total gross floor area in square meters,Double
PLOT,plot_id,Plot ID,Unique identifier for plot,Integer
PLOT,plot_number,Plot Registration Number,Official plot number,Text
PLOT,community_id,Parent Community ID,Community containing this plot,Integer
PLOT,allocation_status,Allocation Status,Whether plot is allocated or available,Text
PLOT,construction_status,Construction Stage,Current construction state,Text
PLOT,plot_status,Overall Status,Overall plot status,Text
PLOT,area_calculated,Plot Area (sqm),Calculated area in square meters,Double
