plot_id,community_id,road_id,allocation_status,construction_status,plot_status,zone_tpss,service_status,area_calculated,development_type,landuse_code,elms_landuse_en,elms_landuse_ar,elms_allocation_en,elms_allocation_ar,sector_tpss,flat_id,gis_id,sector_plot_num,plot_number,community_name_eng,community_name_ara,dev_projectid,dev_far,devcode,max_gfa,municipality_name,district_id,district_name,dev_category,dev_description,elms_parentlanduse_e,elms_parentlanduse_a,created_user,created_date,last_edited_user,last_edited_date,estimatedarea,municipality_id,shape_Length,shape_Area
412558,595,0,ALLOCATED,Not Constructed,Not Constructed,AL REEM ISLAND,available,6030.459361440000066,,,residential/residentialApartments,سكني/شقق سكنية,Investment,استثماري,RS2,,1000412558,RS2_C1,C1,RS2,الريم شمس 2,1042,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,57,Al Reem Island,Other,PLANNED DEVELOPMENT,investment,استثماري,,,,,,41,321.423151814855714,6035.941972111298128
41258,595,0,ALLOCATED,Constructed,Constructed,AL REEM ISLAND,available,3538.580462500000067,,,tabreedStation,محطة تبريد,Utility,مرافق,RS2,,100041258,RS2_P5,P5,RS2,الريم شمس 2,1042,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,57,Al Reem Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,241.059116301019628,3541.785053356812568
412646,66,0,ALLOCATED,Not Constructed,Not Constructed,AL REEM ISLAND,available,3110.654098989999966,,,officesAndGeneralBusinessServices,مكاتب وخدمات أعمال عامة,Commercial,تجاري,RS5,,1000412646,RS5_C19,C19,RS5,الريم شمس 5,1042,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,57,Al Reem Island,Other,PLANNED DEVELOPMENT,commercial,تجاري,,,,,,41,235.644344565852919,3113.453828726320353
4127778,773,0,ALLOCATED,Constructed,Constructed,AL REEM ISLAND,available,2068.495327990000078,,,Service Centre,مركز خدمات,Public Building,مباني عامة,RT6,,10004127778,RT6_P6b,P6b,RT6,الريم طموح 6,1179,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,57,Al Reem Island,Other,PLANNED DEVELOPMENT,publicBuilding,مباني عامة,,,,,,41,196.683059423300676,2070.357919992386542
4127779,773,0,ALLOCATED,Constructed,Constructed,AL REEM ISLAND,available,2069.517149069999959,,,TelephoneExchange,مقسم هاتف,Public Building,مباني عامة,RT6,,10004127779,RT6_P6a,P6a,RT6,الريم طموح 6,1179,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,57,Al Reem Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,7/3/2024 3:00:45,,41,187.265632907008637,2071.381749489972208
412931,153,0,ALLOCATED,Not Constructed,Not Constructed,AL REEM ISLAND,available,11532.813077369999519,,,residentialCommercial,سكن تجارى,Commercial,تجاري,RS3,,1000412931,RS3_C13,C13,RS3,الريم شمس 3,1042,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,57,Al Reem Island,Other,PLANNED DEVELOPMENT,commercial,تجاري,,,,,,41,462.264748683689618,11543.134645584577811
412975,772,0,ALLOCATED,Not Constructed,Not Constructed,AL REEM ISLAND,available,32148.837376259998564,,,residentialCommercial,سكن تجارى,Commercial,تجاري,RS6,,1000412975,RS6_C13,C13,RS6,الريم شمس 6,1042,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,57,Al Reem Island,Other,PLANNED DEVELOPMENT,commercial,تجاري,,,,,,41,720.595560166588029,32177.805244217051950
413024,772,0,ALLOCATED,Not Constructed,Not Constructed,AL REEM ISLAND,available,2497.767942769999991,,,primaryStation,محطة كهرباء رئيسية,Utility,مرافق,RS6,,1000413024,RS6_P15b,P15b,RS6,الريم شمس 6,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,57,Al Reem Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,200.000800273725787,2500.019124461405681
413070,510,0,ALLOCATED,Not Constructed,Not Constructed,AL REEM ISLAND,available,24277.411384980001458,,,multiusage,متعدد الاستخدامات,Commercial,تجاري,RR4,,1000413070,RR4_C18,C18,RR4,الريم الريم 4,1088,N/A,PLANNED DEVELOPMENT,,Abu Dhabi City,57,Al Reem Island,Other,PLANNED DEVELOPMENT,commercial,تجاري,,,,,,41,619.327928230963494,24299.516206737400353
413116,66,0,ALLOCATED,Not Constructed,Not Constructed,AL REEM ISLAND,available,2661.577021439999953,,,residentialCommercial,سكن تجارى,Commercial,تجاري,RS5,,1000413116,RS5_C10,C10,RS5,الريم شمس 5,1042,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,57,Al Reem Island,Other,PLANNED DEVELOPMENT,commercial,تجاري,,,,,,41,196.621177064823371,2663.976954630861201
