year,municipality,municipality_id,district,district_id,community,community_id,typology,layout,rent_type,lower_rent_value,upper_rent_value,avg_rent_value,lable,shape_Length,shape_Area
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,All beds,Renewal,99871.399999999994179,126316.600000000005821,113711.199999999997090,114k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,1 bed,All types,50000.000000000000000,60000.000000000000000,55442.000000000000000,55k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,1 bed,New,50000.000000000000000,58500.000000000000000,53697.000000000000000,54k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,1 bed,Renewal,51000.000000000000000,60000.000000000000000,56745.000000000000000,57k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,2 beds,All types,72000.000000000000000,95000.000000000000000,85922.000000000000000,86k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,2 beds,New,72000.000000000000000,95000.000000000000000,85802.000000000000000,86k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,2 beds,Renewal,72000.000000000000000,96796.000000000000000,85991.000000000000000,86k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,3 beds,All types,95052.000000000000000,128716.000000000000000,110474.000000000000000,110k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,3 beds,New,96200.000000000000000,117000.000000000000000,109261.000000000000000,109k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,3 beds,Renewal,95157.000000000000000,129787.000000000000000,110990.000000000000000,111k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,4 beds,All types,125000.000000000000000,160000.000000000000000,141758.000000000000000,142k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,4 beds,New,126200.000000000000000,153600.000000000000000,138584.000000000000000,139k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,4 beds,Renewal,121200.000000000000000,160000.000000000000000,142824.000000000000000,143k,2838.361921747829001,474895.899450109398458
