year,municipality,municipality_id,district,district_id,community,community_id,project_id,project_number,project_name,typology,layout,rent_type,lower_rent_value,upper_rent_value,avg_rent_value,lable,shape_Length,shape_Area
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,3 beds,All types,199080.000000000000000,237264.000000000000000,218501.000000000000000,219k,1961.882293480008684,231947.188662939355709
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,3 beds,New,196000.000000000000000,239000.000000000000000,215493.000000000000000,215k,1961.882293480008684,231947.188662939355709
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,3 beds,Renewal,187690.000000000000000,224000.000000000000000,205339.000000000000000,205k,1961.882293480008684,231947.188662939355709
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,4 beds,All types,234200.000000000000000,304000.000000000000000,268628.000000000000000,269k,1961.882293480008684,231947.188662939355709
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,4 beds,New,250000.000000000000000,300000.000000000000000,275467.000000000000000,275k,1961.882293480008684,231947.188662939355709
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,4 beds,Renewal,231373.000000000000000,294000.000000000000000,263500.000000000000000,264k,1961.882293480008684,231947.188662939355709
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,All beds,All types,216640.000000000000000,270632.000000000000000,243564.500000000000000,244k,1961.882293480008684,231947.188662939355709
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,All beds,New,223000.000000000000000,269500.000000000000000,245480.000000000000000,245k,1961.882293480008684,231947.188662939355709
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,All beds,Renewal,209531.500000000000000,259000.000000000000000,234419.500000000000000,234k,1961.882293480008684,231947.188662939355709
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,3 beds,All types,199080.000000000000000,237264.000000000000000,218501.000000000000000,219k,1961.882293480008684,231947.188662939355709
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,3 beds,New,196000.000000000000000,239000.000000000000000,215493.000000000000000,215k,1961.882293480008684,231947.188662939355709
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,3 beds,Renewal,187690.000000000000000,224000.000000000000000,205339.000000000000000,205k,1961.882293480008684,231947.188662939355709
