year,municipality,municipality_id,district,district_id,community,community_id,typology,layout,rent_type,volume,value,shape_Length,shape_Area
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,All types,163.000000000000000,34541101.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,All types,152.000000000000000,31780396.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,All types,160.000000000000000,36972186.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,All types,161.000000000000000,37165308.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,All types,109.000000000000000,28212197.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,All types,110.000000000000000,28933725.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,All types,97.000000000000000,28119063.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,All types,163.000000000000000,34541101.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,All types,152.000000000000000,31780396.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,All types,160.000000000000000,36972186.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,All types,97.000000000000000,28119063.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,All types,161.000000000000000,37165308.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,All types,109.000000000000000,28212197.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,All types,110.000000000000000,28933725.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,All types,51.000000000000000,10376000.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,All types,108.000000000000000,23505001.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,7+ beds,All types,4.000000000000000,660100.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,All types,45.000000000000000,9102500.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,All types,104.000000000000000,22137896.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,7+ beds,All types,3.000000000000000,540000.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,All types,45.000000000000000,9702750.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,All types,113.000000000000000,26829436.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,7+ beds,All types,2.000000000000000,440000.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,All types,47.000000000000000,9703887.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,All types,110.000000000000000,26721421.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,7+ beds,All types,4.000000000000000,740000.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,All types,44.000000000000000,11152746.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,All types,63.000000000000000,16759451.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,7+ beds,All types,2.000000000000000,300000.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,All types,44.000000000000000,10694647.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,All types,66.000000000000000,18239078.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,All types,43.000000000000000,13659245.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,All types,54.000000000000000,14459818.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,All types,51.000000000000000,10376000.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,All types,108.000000000000000,23505001.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,7+ beds,All types,4.000000000000000,660100.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,All types,45.000000000000000,9102500.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,All types,104.000000000000000,22137896.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,7+ beds,All types,3.000000000000000,540000.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,All types,45.000000000000000,9702750.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,All types,113.000000000000000,26829436.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,7+ beds,All types,2.000000000000000,440000.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,All types,47.000000000000000,9703887.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,All types,110.000000000000000,26721421.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,7+ beds,All types,4.000000000000000,740000.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,All types,44.000000000000000,11152746.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,All types,63.000000000000000,16759451.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,7+ beds,All types,2.000000000000000,300000.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,All types,44.000000000000000,10694647.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,All types,66.000000000000000,18239078.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,All types,43.000000000000000,13659245.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,All types,54.000000000000000,14459818.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,new,162.000000000000000,34271101.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,renewal,1.000000000000000,270000.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,new,46.000000000000000,9590296.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,renewal,106.000000000000000,22190100.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,new,36.000000000000000,8556020.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,renewal,124.000000000000000,28416166.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,new,38.000000000000000,9562749.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,renewal,123.000000000000000,27602559.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,new,37.000000000000000,10815001.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,renewal,72.000000000000000,17397196.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,new,48.000000000000000,14487756.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,renewal,62.000000000000000,14445969.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,new,43.000000000000000,12968224.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,All beds,renewal,54.000000000000000,15150839.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,new,51.000000000000000,10376000.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,new,107.000000000000000,23235001.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,renewal,1.000000000000000,270000.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,7+ beds,new,4.000000000000000,660100.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,new,12.000000000000000,2535000.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,renewal,33.000000000000000,6567500.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,new,33.000000000000000,6955296.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,renewal,71.000000000000000,15182600.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,7+ beds,new,1.000000000000000,100000.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,7+ beds,renewal,2.000000000000000,440000.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,new,13.000000000000000,3150750.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,renewal,32.000000000000000,6552000.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,new,23.000000000000000,5405270.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,renewal,90.000000000000000,21424166.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,7+ beds,renewal,2.000000000000000,440000.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,new,13.000000000000000,2951490.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,renewal,34.000000000000000,6752397.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,new,23.000000000000000,6311259.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,renewal,87.000000000000000,20410162.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,7+ beds,new,2.000000000000000,300000.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,7+ beds,renewal,2.000000000000000,440000.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,new,15.000000000000000,4685000.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,renewal,29.000000000000000,6467746.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,new,20.000000000000000,5830001.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,renewal,43.000000000000000,10929450.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,7+ beds,new,2.000000000000000,300000.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,new,17.000000000000000,4502756.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,renewal,27.000000000000000,6191891.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,new,31.000000000000000,9985000.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,renewal,35.000000000000000,8254078.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,new,21.000000000000000,7119333.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,4 beds,renewal,22.000000000000000,6539912.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,new,22.000000000000000,5848891.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,All property types,5 beds,renewal,32.000000000000000,8610927.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,new,162.000000000000000,34271101.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,renewal,1.000000000000000,270000.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,new,46.000000000000000,9590296.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,renewal,106.000000000000000,22190100.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,new,36.000000000000000,8556020.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,renewal,124.000000000000000,28416166.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,new,38.000000000000000,9562749.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,renewal,123.000000000000000,27602559.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,new,37.000000000000000,10815001.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,renewal,72.000000000000000,17397196.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,new,48.000000000000000,14487756.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,renewal,62.000000000000000,14445969.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,new,43.000000000000000,12968224.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,All beds,renewal,54.000000000000000,15150839.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,new,51.000000000000000,10376000.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,new,107.000000000000000,23235001.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,renewal,1.000000000000000,270000.000000000000000,2997.569384272442676,592265.860635868855752
2019,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,7+ beds,new,4.000000000000000,660100.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,new,12.000000000000000,2535000.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,renewal,33.000000000000000,6567500.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,new,33.000000000000000,6955296.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,renewal,71.000000000000000,15182600.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,7+ beds,new,1.000000000000000,100000.000000000000000,2997.569384272442676,592265.860635868855752
2020,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,7+ beds,renewal,2.000000000000000,440000.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,new,13.000000000000000,3150750.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,renewal,32.000000000000000,6552000.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,new,23.000000000000000,5405270.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,renewal,90.000000000000000,21424166.000000000000000,2997.569384272442676,592265.860635868855752
2021,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,7+ beds,renewal,2.000000000000000,440000.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,new,13.000000000000000,2951490.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,renewal,34.000000000000000,6752397.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,new,23.000000000000000,6311259.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,renewal,87.000000000000000,20410162.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,7+ beds,new,2.000000000000000,300000.000000000000000,2997.569384272442676,592265.860635868855752
2022,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,7+ beds,renewal,2.000000000000000,440000.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,new,15.000000000000000,4685000.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,renewal,29.000000000000000,6467746.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,new,20.000000000000000,5830001.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,renewal,43.000000000000000,10929450.000000000000000,2997.569384272442676,592265.860635868855752
2023,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,7+ beds,new,2.000000000000000,300000.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,new,17.000000000000000,4502756.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,renewal,27.000000000000000,6191891.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,new,31.000000000000000,9985000.000000000000000,2997.569384272442676,592265.860635868855752
2024,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,renewal,35.000000000000000,8254078.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,new,21.000000000000000,7119333.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,4 beds,renewal,22.000000000000000,6539912.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,new,22.000000000000000,5848891.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS3_04,4591,Villa / Townhouse,5 beds,renewal,32.000000000000000,8610927.000000000000000,2997.569384272442676,592265.860635868855752
2025,Abu Dhabi City,41,Yas Island,1330,YS6,4574,Apartment / Duplex,studio,All types,7.000000000000000,2877929.000000000000000,8663.801177882978664,1481084.912168154958636
2022,Abu Dhabi City,41,Yas Island,1330,YS6,4574,All property types,All beds,new,1.000000000000000,1284000.000000000000000,8663.801177882978664,1481084.912168154958636
2023,Abu Dhabi City,41,Yas Island,1330,YS6,4574,All property types,All beds,new,18.000000000000000,5791034.000000000000000,8663.801177882978664,1481084.912168154958636
2023,Abu Dhabi City,41,Yas Island,1330,YS6,4574,All property types,All beds,renewal,1.000000000000000,1284000.000000000000000,8663.801177882978664,1481084.912168154958636
