municipality,municipality_id,district,district_id,year,typology,layout,transaction_type,value,volume,shape_Length,shape_Area
Abu Dhabi City,41,YAS ISLAND,1330,2021,Apartment / Duplex,1 bed,All types,288808706.050000011920929,336.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,All property types,1 bed,All types,288808706.050000011920929,336.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,Apartment / Duplex,2 beds,All types,491547342.949999988079071,382.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,Villa / Townhouse,2 beds,All types,272931890.500000000000000,156.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,All property types,2 beds,All types,764479233.450000047683716,538.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,Apartment / Duplex,3 beds,All types,318438139.860000014305115,185.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,Villa / Townhouse,3 beds,All types,962019602.860000014305115,410.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,All property types,3 beds,All types,1280457742.720000028610229,595.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,Apartment / Duplex,4 beds,All types,9516418.919999999925494,3.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,Villa / Townhouse,4 beds,All types,830020893.009999990463257,262.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,All property types,4 beds,All types,839537311.929999947547913,265.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,Villa / Townhouse,5 beds,All types,516561466.990000009536743,127.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,All property types,5 beds,All types,516561466.990000009536743,127.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,Villa / Townhouse,6+ beds,All types,49762717.899999998509884,9.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,All property types,6+ beds,All types,49762717.899999998509884,9.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,Apartment / Duplex,studio,All types,61076102.670000001788139,104.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,All property types,studio,All types,61076102.670000001788139,104.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,Other,Undefined,All types,337655188.040000021457672,7.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,Plot,Undefined,All types,390524299.430000007152557,156.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,Villa / Townhouse,Undefined,All types,892561502.070000052452087,262.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2021,All property types,Undefined,All types,1620740989.539999961853027,425.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,Apartment / Duplex,1 bed,All types,203170545.110000014305115,239.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,All property types,1 bed,All types,203170545.110000014305115,239.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,Apartment / Duplex,2 beds,All types,313015082.040000021457672,229.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,Villa / Townhouse,2 beds,All types,246482702.689999997615814,155.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,All property types,2 beds,All types,559497784.730000019073486,384.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,Apartment / Duplex,3 beds,All types,251966727.580000013113022,138.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,Villa / Townhouse,3 beds,All types,1260422151.740000009536743,556.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,All property types,3 beds,All types,1512388879.319999933242798,694.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,Apartment / Duplex,4 beds,All types,7639783.709999999962747,3.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,Villa / Townhouse,4 beds,All types,1567153583.150000095367432,487.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,All property types,4 beds,All types,1574793366.859999895095825,490.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2020,Villa / Townhouse,5 beds,All types,566258679.200000047683716,133.000000000000000,23604.657354876042518,28738344.954181831330061
