municipality,municipality_id,district,district_id,project_name,project_id,project_num,year,typology,layout,transaction_type,value,volume,shape_Length,shape_Area
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2021,Villa / Townhouse,4 beds,sale,4036033.000000000000000,1.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2021,All property types,4 beds,sale,4036033.000000000000000,1.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2021,Villa / Townhouse,Undefined,sale,704224460.000000000000000,190.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2021,All property types,Undefined,sale,704224460.000000000000000,190.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2021,All property types,All beds,sale,708260493.000000000000000,191.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2021,All property types,All beds,All types,708260493.000000000000000,191.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2022,Villa / Townhouse,2 beds,sale,2403451.000000000000000,1.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2022,All property types,2 beds,sale,2403451.000000000000000,1.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2022,Villa / Townhouse,3 beds,sale,3714442.000000000000000,1.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2022,All property types,3 beds,sale,3714442.000000000000000,1.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2022,Villa / Townhouse,Undefined,sale,419440742.000000000000000,107.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2022,All property types,Undefined,sale,419440742.000000000000000,107.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2022,All property types,All beds,sale,425558635.000000000000000,109.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2022,All property types,All beds,All types,425558635.000000000000000,109.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2023,Villa / Townhouse,2 beds,sale,2403451.000000000000000,1.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2023,All property types,2 beds,sale,2403451.000000000000000,1.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2023,Villa / Townhouse,3 beds,sale,3975000.000000000000000,1.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2023,All property types,3 beds,sale,3975000.000000000000000,1.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2023,Villa / Townhouse,Undefined,sale,291584717.000000000000000,82.000000000000000,2284.986370732574869,239620.693531177414116
Abu Dhabi City,41,YAS ISLAND,1330,The Magnolias,1288,2021/385070,2023,All property types,Undefined,sale,291584717.000000000000000,82.000000000000000,2284.986370732574869,239620.693531177414116
